#sample: Merged
# data
# dataset2.dat
# dataset1.dat
# dataset3.dat
# q  I  sigma
4.256041e-03 5.162019e-01 3.061018e-01
4.539777e-03 1.012893e+00 2.333165e-01
4.823513e-03 1.275091e+00 1.815829e-01
5.106832e-03 1.195814e+00 1.480337e-01
5.254660e-03 1.142163e+00 7.854331e-01
5.390985e-03 1.185719e+00 1.391737e-01
5.435640e-03 1.247917e+00 8.371056e-01
5.673703e-03 1.153137e+00 1.074509e-01
5.816530e-03 1.260847e+00 5.436695e-01
5.958456e-03 1.201105e+00 8.592039e-02
6.016860e-03 1.078349e+00 4.815822e-01
6.241762e-03 1.141498e+00 7.104445e-02
6.438470e-03 1.248384e+00 4.572675e-01
6.525928e-03 1.078002e+00 6.094030e-02
6.660230e-03 1.107362e+00 4.102186e-01
6.809664e-03 1.096124e+00 5.397777e-02
6.889630e-03 1.187343e+00 3.639831e-01
7.093992e-03 1.199400e+00 4.418253e-02
7.377031e-03 1.050551e+00 4.116924e-02
7.660066e-03 1.126037e+00 3.705815e-02
7.943206e-03 1.155034e+00 3.557290e-02
8.160700e-03 1.227920e+00 1.973816e-01
8.228342e-03 1.082814e+00 3.437374e-02
8.441780e-03 1.092220e+00 2.152564e-01
8.512077e-03 1.125381e+00 3.195422e-02
8.793291e-03 1.138105e+00 3.172609e-02
9.033310e-03 1.123805e+00 1.717486e-01
9.079548e-03 1.163673e+00 2.994392e-02
9.362656e-03 1.143418e+00 2.872722e-02
9.647851e-03 1.175602e+00 2.811892e-02
9.933784e-03 1.109133e+00 2.648490e-02
1.021449e-02 1.199432e+00 2.807273e-02
1.034360e-02 1.199246e+00 1.144497e-01
1.049822e-02 1.183801e+00 2.603397e-02
1.060000e-02 9.656569e-01 2.712295e+00
1.077749e-02 1.134686e+00 2.509023e-02
1.106587e-02 1.120577e+00 2.446253e-02
1.111000e-02 9.445779e-01 2.106418e+00
1.134943e-02 1.167205e+00 2.470906e-02
1.144960e-02 1.083386e+00 1.063661e-01
1.163316e-02 1.144288e+00 2.487852e-02
1.191234e-02 1.152941e+00 2.303871e-02
1.220061e-02 1.078809e+00 2.341749e-02
1.225190e-02 1.062784e+00 8.981781e-02
1.248437e-02 1.137174e+00 2.365256e-02
1.267378e-02 1.212542e+00 7.543666e-02
1.276810e-02 1.178497e+00 2.330388e-02
1.305644e-02 1.181414e+00 2.107474e-02
1.333557e-02 1.150914e+00 2.068757e-02
1.361468e-02 1.143105e+00 1.949425e-02
1.391890e-02 1.120487e+00 1.865349e-02
1.418699e-02 1.157784e+00 1.911484e-02
1.447543e-02 1.163300e+00 1.749166e-02
1.475398e-02 1.135913e+00 1.810176e-02
1.503364e-02 1.156978e+00 1.680547e-02
1.531951e-02 1.090263e+00 1.747589e-02
1.552920e-02 1.158245e+00 4.171296e-02
1.560545e-02 1.126324e+00 1.781621e-02
1.588223e-02 1.123604e+00 1.680276e-02
1.606410e-02 1.119243e+00 3.807854e-02
1.618240e-02 1.109531e+00 1.647830e-02
1.645665e-02 1.135246e+00 1.716210e-02
1.671322e-02 1.127195e+00 1.483280e-02
1.680000e-02 1.128767e+00 4.454741e-02
1.705804e-02 1.126125e+00 1.476881e-02
1.730946e-02 1.143276e+00 1.537230e-02
1.759158e-02 1.132679e+00 1.629550e-02
1.779673e-02 1.108507e+00 2.224570e-02
1.787532e-02 1.139183e+00 1.592708e-02
1.815905e-02 1.153152e+00 1.574095e-02
1.841890e-02 1.093211e+00 1.235565e-02
1.872652e-02 1.108094e+00 1.565028e-02
1.898814e-02 1.134546e+00 1.397840e-02
1.902770e-02 1.111298e+00 2.590709e-02
1.930836e-02 1.113140e+00 1.356706e-02
1.960872e-02 1.118479e+00 1.235094e-02
1.986890e-02 1.097036e+00 1.358391e-02
2.014518e-02 1.126706e+00 1.499891e-02
2.040971e-02 1.097938e+00 1.149199e-02
2.071265e-02 1.110985e+00 1.522890e-02
2.098401e-02 1.117279e+00 1.347892e-02
2.120011e-02 1.101532e+00 1.215122e-02
2.153615e-02 1.088745e+00 1.311938e-02
2.178780e-02 1.074508e+00 1.636518e-02
2.187890e-02 1.114247e+00 1.310603e-02
2.213131e-02 1.088507e+00 1.488717e-02
2.250490e-02 1.095767e+00 7.272951e-03
2.269877e-02 1.111604e+00 1.500751e-02
2.298658e-02 1.115986e+00 1.282283e-02
2.336403e-02 1.093991e+00 6.174320e-03
2.383370e-02 1.105282e+00 1.467684e-02
2.411151e-02 1.084067e+00 6.444113e-03
2.440116e-02 1.108227e+00 1.438469e-02
2.464430e-02 1.107841e+00 1.226261e-02
